"act_number"|"section_number"|"section_name"|"section_content"
"224"|"216"|"Harbouring an offender who has escaped from custody, or whose apprehension has been ordered"|"<div class=""prov1Txt"" id=""pr216-.""><strong>216.</strong>&#160;&#160;Whenever any person convicted of, or charged with an offence, being in lawful custody for that offence, escapes from such custody, or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a certain person to be apprehended for an offence, whoever, knowing of such escape or order for apprehension, harbours or conceals that person with the intention of preventing him from being apprehended, shall be punished in the manner following, that is to say, if the offence for which the person was in custody, or is ordered to be apprehended, is punishable with death, he shall be punished with imprisonment for a term which may extend to 10 years, and shall also be liable to fine; if the offence is punishable with imprisonment for life, or imprisonment which may extend to 20 years, he shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine; and if the offence is punishable with imprisonment which may extend to one year and not to 20 years, he shall be punished with imprisonment for a term which may extend to one-fourth part of the longest term of the imprisonment provided for the offence, or with fine, or with both.<div class=""proviso"" id=""pr216-vi-.""><div class=""provisoText"">In this section, &#8220;offence&#8221; includes also any act or omission of which a person is alleged to have been guilty out of Singapore which if he had been guilty of it in Singapore would have been punishable as an offence and for which he is under any law relating to extradition, or otherwise, liable to be apprehended or detained in custody in Singapore, and every such act or omission shall for the purpose of this section be deemed to be punishable as if the accused person had been guilty of it in Singapore. </div></div><div class=""amendNote"">[51/2007]</div><div class=""except"" id=""pr216-tc-.""><div class=""illusTxt""><em>Exception</em>.&#8212;.&#160;This provision does not extend to the case in which the harbour or concealment is by the husband or wife of the person to be apprehended.<div class=""sourceNote"">[Indian PC 1860, s. 216]</div></div></div></div>"
"224"|"216"|"Harbouring robbers or gang-robbers, etc."|"<div class=""prov1Txt"" id=""pr216A-.""><strong>216A.</strong>&#160;&#160;Whoever, knowing or having reason to believe that any persons are about to commit or have recently committed robbery or gang-robbery, harbours them or any of them with the intention of facilitating the commission of such robbery or gang-robbery or of screening them or any of them from punishment, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine.<div class=""explan"" id=""pr216A-tp-.""><div class=""illusTxt""><em>Explanation</em>&#8212;.&#160;For the purpose of this section it is immaterial whether the robbery or gang-robbery is intended to be committed or has been committed within or without Singapore.</div></div><div class=""except"" id=""pr216A-tc-.""><div class=""illusTxt""><em>Exception</em>.&#8212;This provision does not extend to the case in which the harbouring is by the husband or wife of the offender.<div class=""sourceNote"">[Indian PC 1860, s. 216A]</div></div></div></div>"
"224"|"216"|"“Harbour”"|"<div class=""prov1Txt"" id=""pr216B-.""><strong>216B.</strong>&#160;&#160;In <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%22af7676e2-b684-42bb-a66e-68bb279b9ca0%22%20Status%3Ainforce;rec=0#pr212-."">sections&#160;212</a>, <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%226cbcd8dc-010f-4055-b93f-e9fabdb612f8%22%20Status%3Ainforce;rec=0#pr216-."">216</a> and <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%228cd36b98-9ac1-4717-902d-79aa1a37b499%22%20Status%3Ainforce;rec=0#pr216A-."">216A</a>, &#8220;harbour&#8221; includes the supplying a person with shelter, food, drink, money, clothes, arms, ammunition, or means of conveyance, or the assisting a person in any way to evade apprehension.</div>"
"224"|"217"|"Public servant disobeying a direction of law with intent to save person from punishment or property from forfeiture"|"<div class=""prov1Txt"" id=""pr217-.""><strong>217.</strong>&#160;&#160;Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a lesser punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or any charge to which it is liable by law, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 217]</div></div>"
"224"|"218"|"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture"|"<div class=""prov1Txt"" id=""pr218-.""><strong>218.</strong>&#160;&#160;Whoever, being a public servant, and being, as such public servant, charged with the preparation of any record or other writing, frames that record or writing in a manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law, shall be punished with imprisonment for a term which may extend to 3 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 218]</div></div>"
"224"|"219"|"Public servant in a judicial proceeding making an order, etc., which he knows to be contrary to law"|"<div class=""prov1Txt"" id=""pr219-.""><strong>219.</strong>&#160;&#160;Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial proceeding, any report, order, verdict or decision which he knows to be contrary to law, shall be punished with imprisonment for a term which may extend to 7 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 219]</div></div>"
"224"|"220"|"Commitment for trial or confinement by a person having authority who knows that he is acting contrary to law"|"<div class=""prov1Txt"" id=""pr220-.""><strong>220.</strong>&#160;&#160;Whoever, being in any office which gives him legal authority to commit persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits any person for trial or to confinement, or keeps any person in confinement, in the exercise of that authority, knowing that in so doing he is acting contrary to law, shall be punished with imprisonment for a term which may extend to 7 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 220]</div></div>"
"224"|"221"|"Intentional omission to apprehend on the part of a public servant bound by law to apprehend"|"<div class=""prov1Txt"" id=""pr221-.""><strong>221.</strong>&#160;&#160;Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished&#160;&#8212;<div class=""p1_1""><div class=""p1No"">(<em>a</em>)</div><div class=""pTxt"">with imprisonment for a term which may extend to 10 years, and shall also be liable to fine, if the person in confinement, or who ought to have been apprehended, was charged with or liable to be apprehended for an offence punishable with death;</div></div><div class=""p1_1""><div class=""p1No"">(<em>b</em>)</div><div class=""pTxt"">with imprisonment for a term which may extend to 7 years, and shall also be liable to fine, if the person in confinement, or who ought to have been apprehended, was charged with or liable to be apprehended for an offence punishable with imprisonment for life, or imprisonment for a term which may extend to 20 years; or</div></div><div class=""p1_1""><div class=""p1No"">(<em>c</em>)</div><div class=""pTxt"">with imprisonment for a term which may extend to 5 years, or with fine, or with both, if the person in confinement, or who ought to have been apprehended, was charged with or liable to be apprehended for an offence punishable with imprisonment for a term less than 20 years.  <div class=""amendNote"">[51/2007]</div></div></div><div class=""sourceNote"">[Indian PC 1860, s. 221]</div></div>"
"224"|"222"|"Intentional omission to apprehend on the part of a public servant bound by law to apprehend person under sentence of a court of justice"|"<div class=""prov1Txt"" id=""pr222-.""><strong>222.</strong>&#160;&#160;Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a court of justice for any offence, or lawfully committed to custody, intentionally omits to apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished&#160;&#8212;<div class=""p1_1""><div class=""p1No"">(<em>a</em>)</div><div class=""pTxt"">with imprisonment for life or with imprisonment for a term which may extend to 20 years, and shall also be liable to fine, if the person in confinement, or who ought to have been apprehended, is under sentence of death;</div></div><div class=""p1_1""><div class=""p1No"">(<em>b</em>)</div><div class=""pTxt"">with imprisonment for a term which may extend to 10 years, and shall also be liable to fine, if the person in confinement, or who ought to have been apprehended, is subject, by a sentence of a court of justice, or by virtue of a commutation of such sentence, to imprisonment for a term of 20 years or upwards; or</div></div><div class=""p1_1""><div class=""p1No"">(<em>c</em>)</div><div class=""pTxt"">with imprisonment for a term which may extend to 7 years, or with fine or with both, if the person in confinement, or who ought to have been apprehended, is subject, by a sentence of a court of justice, to imprisonment for a term less than 20 years, or if the person was lawfully committed to custody.  <div class=""amendNote"">[51/2007]</div></div></div><div class=""sourceNote"">[Indian PC 1860, s. 222]</div></div>"
"224"|"223"|"Escape from confinement negligently suffered by a public servant"|"<div class=""prov1Txt"" id=""pr223-.""><strong>223.</strong>&#160;&#160;Whoever, being a public servant, legally bound as such public servant to keep in confinement any person charged with or convicted of any offence, or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 223]</div></div>"
"224"|"224"|"Resistance or obstruction by a person to his lawful apprehension"|"<div class=""prov1Txt"" id=""pr224-.""><strong>224.</strong>&#160;&#160;Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged, or of which he has been convicted, or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both.<div class=""explan"" id=""pr224-tp-.""><div class=""illusTxt""><em>Explanation</em>&#8212;The punishment in this section is in addition to the punishment for which the person to be apprehended or detained in custody was liable for the offence with which he was charged or of which he was convicted.<div class=""sourceNote"">[Indian PC 1860, s. 224]</div></div></div></div>"
"224"|"225"|"Resistance or obstruction to the lawful apprehension of another person"|"<div class=""prov1Txt"" id=""pr225-.""><strong>225.</strong>&#160;&#160;Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained for an offence&#160;&#8212;<div class=""p1_1""><div class=""p1No"">(<em>a</em>)</div><div class=""pTxt"">shall be punished with imprisonment for a term which may extend to 5 years, or with fine, or with both;</div></div><div class=""p1_1""><div class=""p1No"">(<em>b</em>)</div><div class=""pTxt"">if the person to be apprehended, or the person rescued, or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with imprisonment for life or imprisonment for a term which may extend to 20 years, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine;</div></div><div class=""p1_1""><div class=""p1No"">(<em>c</em>)</div><div class=""pTxt"">if the person to be apprehended or rescued, or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with death, shall be punished with imprisonment for a term which may extend to 10 years, and shall also be liable to fine;</div></div><div class=""p1_1""><div class=""p1No"">(<em>d</em>)</div><div class=""pTxt"">if the person to be apprehended or rescued, or attempted to be rescued, is liable, under the sentence of a court of justice, or by virtue of a commutation of such a sentence, to imprisonment for a term of 10 years or upwards, shall be punished with imprisonment for a term which may extend to 10 years, and shall also be liable to fine; or</div></div><div class=""p1_1""><div class=""p1No"">(<em>e</em>)</div><div class=""pTxt"">if the person to be apprehended or rescued, or attempted to be rescued, is under sentence of death, shall be punished with imprisonment for life or imprisonment for a term not exceeding 15 years, and shall also be liable to fine.  <div class=""amendNote"">[51/2007]</div></div></div><div class=""sourceNote"">[Indian PC 1860, s. 225]</div></div>"
"224"|"225"|"Public servant omitting to apprehend or suffering other persons to escape in cases not already provided for"|"<div class=""prov1Txt"" id=""pr225A-.""><strong>225A.</strong>&#160;&#160;Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person in any case not provided for in <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%22dc16a7cc-f9ca-4683-896c-075b81f36b5c%22%20Status%3Ainforce;rec=0#pr221-."">section&#160;221</a>, <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%220064e907-ce5b-431d-84e4-745111612a57%22%20Status%3Ainforce;rec=0#pr222-."">222</a> or <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%229afba469-f824-4275-875e-793932b6a6a5%22%20Status%3Ainforce;rec=0#pr223-."">223</a>, or in any other law for the time being in force, omits to apprehend that person, or suffers him to escape from confinement, shall be punished&#160;&#8212;<div class=""p1_1""><div class=""p1No"">(<em>a</em>)</div><div class=""pTxt"">if he does so intentionally, with imprisonment for a term which may extend to 3 years, or with fine, or with both; or</div></div><div class=""p1_1""><div class=""p1No"">(<em>b</em>)</div><div class=""pTxt"">if he does so negligently, with imprisonment for a term which may extend to 2 years, or with fine, or with both.</div></div><div class=""sourceNote"">[Indian PC 1860, s. 225A]</div></div>"
"224"|"225"|"Resistance or obstruction to lawful apprehension, or escape, or rescue, in cases not otherwise provided for"|"<div class=""prov1Txt"" id=""pr225B-.""><strong>225B.</strong>&#160;&#160;Whoever, in any case not provided for in <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%22390c5cb7-8f20-4573-abc8-f89ce4cbb965%22%20Status%3Ainforce;rec=0#pr224-."">section&#160;224</a> or <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%223cda0a69-2ca2-4955-8f2d-e1d6039b6c28%22%20Status%3Ainforce;rec=0#pr225-."">225</a>, or in any other law for the time being in force, intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself or of any other person, or escapes or attempts to escape from any custody in which he is lawfully detained, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 225B]</div></div>"
"224"|"225"|"Offences against laws of Singapore where no special punishment is provided"|"<div class=""prov1Txt"" id=""pr225C-.""><strong>225C.</strong>&#160;&#160;Whoever does anything which by any law in force in Singapore he is prohibited from doing, or omits to do anything which he is so enjoined to do, shall, when no special punishment is provided by the law for such commission or omission, be punished with fine not exceeding $2,000.  <div class=""amendNote"">[51/2007]</div></div>"
"224"|"226"|"Unlawful return from banishment"|"<div class=""prov1Txt"" id=""pr226-.""><strong>226.</strong>&#160;&#160;Whoever, having been lawfully banished, or otherwise lawfully sent out of Singapore, returns to Singapore, the term for which he was banished or sent out of Singapore not having expired, and he not having received a remission of punishment, or otherwise not having lawful authority to return to Singapore, shall be punished with imprisonment for a term which shall not exceed that for which he was banished or sent out of Singapore, and shall also be liable to fine.<div class=""explan"" id=""pr226-tp-.""><div class=""illusTxt""><em>Explanation</em>&#8212;A person ordered to be banished from Singapore under the <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=DocId%3A%22825dc721-ca00-4176-b1e2-0a18b533c0c9%22%20Status%3Ainforce%20Depth%3A0%20ValidTime%3A20110102000000%20TransactionTime%3A20140617000000;rec=0"">Banishment Act (Cap. 18)</a> is liable to punishment for returning unlawfully to Singapore under this section.</div></div></div>"
"224"|"227"|"Violation of condition of remission of punishment"|"<div class=""prov1Txt"" id=""pr227-.""><strong>227.</strong>&#160;&#160;Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.<div class=""sourceNote"">[Indian PC 1860, s. 227]</div></div>"
"224"|"228"|"Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding"|"<div class=""prov1Txt"" id=""pr228-.""><strong>228.</strong>&#160;&#160;Whoever intentionally offers any insult or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding shall be punished with imprisonment for a term which may extend to one year, or with fine which may extend to $5,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 228]</div></div>"
"224"|"229"|"Personation of an assessor"|"<div class=""prov1Txt"" id=""pr229-.""><strong>229.</strong>&#160;&#160;Whoever, by personation or otherwise, intentionally causes or knowingly suffers himself to be returned, empanelled, or sworn as an assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled, or sworn, or knowing himself to have been so returned, empanelled, or sworn contrary to law, voluntarily serves as such assessor, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 229]</div></div>"
"224"|"230"|"“Coin” and “current coin”"|"<div class=""prov1Txt"" id=""pr230-.""><strong>230.</strong>&#160;&#160;&#8220;Coin&#8221; is metal used as money stamped and issued by the authority of the Government or by the authority of the government of any foreign country in order to be so used.<div class=""def"">&#8220;Current coin&#8221; means coin which is legal tender in Singapore or in any foreign country. <div class=""amendNote"">[51/2007]</div><div class=""illus"" id=""pr230-pdCurrentcoin-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt"">(<em>a</em>) to (<em>c</em>) [<em>Deleted by Act 51 of 2007</em>]</div><div class=""sourceNote"">[Indian PC 1860, s. 230]</div></div></div></div>"
"224"|"231"|"Counterfeiting coin"|"<div class=""prov1Txt"" id=""pr231-.""><strong>231.</strong>&#160;&#160;Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine.<div class=""explan"" id=""pr231-tp-.""><div class=""illusTxt""><em>Explanation</em>&#8212;A person commits this offence, who, intending to practise deception, or knowing it to be likely that deception will thereby be practised, causes a genuine coin to appear like a different coin.<div class=""sourceNote"">[Indian PC 1860, s. 231]</div></div></div></div>"
"224"|"232"|"Counterfeiting current coin"|"<div class=""prov1Txt"" id=""pr232-.""><strong>232.</strong>&#160;&#160;Whoever counterfeits or knowingly performs any part of the process of counterfeiting current coin, shall be punished with imprisonment for a term which may extend to 10 years, and shall also be liable to fine. <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 232]</div></div>"
"224"|"233"|"Making or selling instrument for counterfeiting coin"|"<div class=""prov1Txt"" id=""pr233-.""><strong>233.</strong>&#160;&#160;Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment for a term which may extend to 3 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 233]</div></div>"
"224"|"234"|"Making or selling instrument for counterfeiting current coin"|"<div class=""prov1Txt"" id=""pr234-.""><strong>234.</strong>&#160;&#160;Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting current coin, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 234]</div></div>"
"224"|"235"|"Possession of instrument or material for the purpose of using the same for counterfeiting coin"|"<div class=""prov1Txt"" id=""pr235-.""><strong>235.</strong>&#160;&#160;Whoever is in possession of any instrument or material for the purpose of using the same for counterfeiting coin, or knowing or having reason to believe that the same is intended to be used for that purpose, shall be punished with imprisonment for a term which may extend to 3 years, and shall also be liable to fine; and if the coin to be counterfeited is current coin, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 235]</div></div>"
"224"|"236"|"Abetting in Singapore the counterfeiting out of Singapore of coin or current coin"|"<div class=""prov1Txt"" id=""pr236-.""><strong>236.</strong>&#160;&#160;Whoever, being within Singapore, abets the counterfeiting of coin or current coin out of Singapore, shall be punished in the same manner as if he abetted the counterfeiting of such coin or current coin within Singapore.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 236]</div></div>"
"224"|"237"|"Import or export of counterfeit coin"|"<div class=""prov1Txt"" id=""pr237-.""><strong>237.</strong>&#160;&#160;Whoever imports into Singapore, or exports therefrom, any counterfeit coin, knowing or having reason to believe that the same is counterfeit, shall be punished with imprisonment for a term which may extend to 3 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 237]</div></div>"
"224"|"238"|"Import or export of counterfeits of current coin"|"<div class=""prov1Txt"" id=""pr238-.""><strong>238.</strong>&#160;&#160;Whoever imports into Singapore, or exports therefrom, any counterfeit coin which he knows or has reason to believe to be a counterfeit of current coin, shall be punished with imprisonment for a term which may extend to 10 years, and shall also be liable to fine.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 238]</div></div>"
"224"|"239"|"Delivery to another of coin, possessed with the knowledge that it is counterfeit"|"<div class=""prov1Txt"" id=""pr239-.""><strong>239.</strong>&#160;&#160;Whoever, having any counterfeit coin which at the time when he became possessed of it he knew to be counterfeit, fraudulently or with intent that fraud may be committed, delivers the same to any person, or attempts to induce any person to receive it, shall be punished with imprisonment for a term which may extend to 5 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 239]</div></div>"
"224"|"240"|"Delivery of current coin, possessed with the knowledge that it is counterfeit"|"<div class=""prov1Txt"" id=""pr240-.""><strong>240.</strong>&#160;&#160;Whoever, having any counterfeit coin which is a counterfeit of current coin, and which at the time when he became possessed of it he knew to be a counterfeit of current coin, fraudulently or with intent that fraud may be committed, delivers the same to any person, or attempts to induce any person to receive it, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 240]</div></div>"
"224"|"241"|"Delivery to another of coin as genuine, which when first possessed the deliverer did not know to be counterfeit"|"<div class=""prov1Txt"" id=""pr241-.""><strong>241.</strong>&#160;&#160;Whoever delivers to any other person as genuine, or attempts to induce any other person to receive as genuine, any counterfeit coin which he knows to be counterfeit, but which he did not know to be counterfeit at the time when he took it into his possession, shall be punished with imprisonment for a term which may extend to 2 years, or with fine to an amount which may extend to 10 times the value of the coin counterfeited, or with both.<div class=""illus"" id=""pr241-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt""><em>A</em>, a coiner, delivers counterfeit Hong Kong dollars to his accomplice <em>B</em>, for the purpose of uttering them. <em>B</em> sells the dollars to <em>C</em>, another utterer, who buys them knowing them to be counterfeit. <em>C</em> pays away the dollars for goods to <em>D</em>, who receives them, not knowing them to be counterfeit. <em>D</em>, after receiving the dollars, discovers that they are counterfeit, and pays them away as if they were good. Here <em>D</em> is punishable only under this section, but <em>B</em> and <em>C</em> are punishable under <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%223900528c-4bb9-4138-bf3e-7665a69e8d57%22%20Status%3Ainforce;rec=0#pr239-."">section&#160;239</a> or <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%2235f0d3a0-ff87-4557-8f8c-9502b63a02a1%22%20Status%3Ainforce;rec=0#pr240-."">240</a> as the case may be.</div><div class=""sourceNote"">[Indian PC 1860, s. 241]</div></div></div>"
"224"|"241"|"Delivery to another of current coin as genuine, which when first possessed the deliverer did not know to be counterfeit"|"<div class=""prov1Txt"" id=""pr241A-.""><strong>241A.</strong>&#160;&#160;Whoever delivers to any other person as genuine, or attempts to induce any other person to receive as genuine, any counterfeit coin which is a counterfeit of current coin which he knows to be counterfeit, but which he did not know to be counterfeit at the time when he took it into his possession, shall be punished with imprisonment for a term which may extend to 5 years, or with fine, or with both.  <div class=""amendNote"">[51/2007]</div></div>"
"224"|"242"|"Possession of counterfeit coin by a person who knew it to be counterfeit when he became possessed thereof"|"<div class=""prov1Txt"" id=""pr242-.""><strong>242.</strong>&#160;&#160;Whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, having known at the time when he became possessed of it that the coin was counterfeit, shall be punished with imprisonment for a term which may extend to 3 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 242]</div></div>"
"224"|"243"|"Possession of current coin by a person who knew it to be counterfeit when he became possessed thereof"|"<div class=""prov1Txt"" id=""pr243-.""><strong>243.</strong>&#160;&#160;Whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, which is a counterfeit of current coin, having known at the time when he became possessed of it that it was a counterfeit, shall be punished with imprisonment for a term which may extend to 5 years, and shall also be liable to fine. <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 243]</div></div>"
"224"|"243"|"['Repealed by ', 'Act 51 of 2007']"|""
"224"|"246"|"Fraudulently or dishonestly diminishing the weight or altering the composition of any coin"|"<div class=""prov1Txt"" id=""pr246-.""><sup>*</sup><strong>246.</strong>&#160;&#160;Whoever fraudulently or dishonestly performs on any coin any operation which diminishes the weight or alters the composition of that coin shall be punished with imprisonment for a term which may extend to 3 years, and shall also be liable to fine.<div class=""explan"" id=""pr246-tp-.""><div class=""illusTxt""><em>Explanation</em>&#8212;A person who scoops out part of the coin and puts anything else into the cavity, alters the composition of that coin.<div class=""sourceNote"">[Indian PC 1860, s. 246]</div></div></div></div>"
"224"|"247"|"Fraudulently or dishonestly diminishing the weight or altering the composition of current coin"|"<div class=""prov1Txt"" id=""pr247-.""><strong>247.</strong>&#160;&#160;Whoever fraudulently or dishonestly performs on any current coin any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 247]</div></div>"
"224"|"248"|"Altering appearance of any coin with intent that it shall pass as a coin of a different description"|"<div class=""prov1Txt"" id=""pr248-.""><strong>248.</strong>&#160;&#160;Whoever performs on any coin any operation which alters the appearance of that coin, with the intention that that coin shall pass as a coin of a different description, shall be punished with imprisonment for a term which may extend to 3 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 248]</div></div>"
"224"|"249"|"Altering appearance of current coin with intent that it shall pass as a coin of a different description"|"<div class=""prov1Txt"" id=""pr249-.""><strong>249.</strong>&#160;&#160;Whoever performs on any current coin any operation which alters the appearance of that coin, with the intention that that coin shall pass as a coin of a different description, shall be punished with imprisonment for a term which may extend to 7 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 249]</div></div>"
"224"|"250"|"Delivery to another of coin possessed with the knowledge that it is altered"|"<div class=""prov1Txt"" id=""pr250-.""><strong>250.</strong>&#160;&#160;Whoever, having coin in his possession with respect to which the offence defined in <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%22569148fc-5e74-4d9b-a049-d0a2140f6f37%22%20Status%3Ainforce;rec=0#pr246-."">section&#160;246</a> or <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%229cb15f37-56fc-4743-ac9c-03b4d4a786ac%22%20Status%3Ainforce;rec=0#pr248-."">248</a> has been committed, and having known at the time when he became possessed of the coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers the coin to any other person, or attempts to induce any other person to receive the coin, shall be punished with imprisonment for a term which may extend to 5 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 250]</div></div>"
"224"|"251"|"Delivery of current coin possessed with the knowledge that it is altered"|"<div class=""prov1Txt"" id=""pr251-.""><strong>251.</strong>&#160;&#160;Whoever, having coin in his possession with respect to which the offence defined in <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%22071f3ed1-c195-4d2c-acb5-df6396f1bc8c%22%20Status%3Ainforce;rec=0#pr247-."">section&#160;247</a> or <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%22146dccee-91c1-489c-b3eb-d09c6688f5fb%22%20Status%3Ainforce;rec=0#pr249-."">249</a> has been committed, and having known at the time when he became possessed of the coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers the coin to any other person, or attempts to induce any other person to receive the coin, shall be punished with imprisonment for a term which may extend to 10 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 251]</div></div>"
